text,category,severity,urgency
Solid Waste (Garbage) Related - Garbage dump in Doddanekkundi. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Forest - Removal of dead/fallen trees in Gottigere. 1st Assignment Based on Ward Mapping,Forest,MEDIUM,NEUTRAL
Health Dept - Unhygienic premises in hospital in Hoysala Nagar. 1st Assignment Based on Ward Mapping,Health Dept,MEDIUM,NEUTRAL
Others - Others in Singasandra. 1st Assignment Based on Ward Mapping,Others,MEDIUM,NEUTRAL
Road Maintenance(Engg) - Potholes in Bilekahalli. 1st Assignment Based on Ward Mapping,Road Maintenance(Engg),MEDIUM,NEUTRAL
Electrical - Street Light Not Working in BTM Layout. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Electrical - Street Light Not Working in Gottigere. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
veterinary - Anti Rabies Vaccination of stray dogs in Varthur. 1st Assignment Based on Ward Mapping,veterinary,MEDIUM,NEUTRAL
Electrical - Street Light Not Working in Bellandur. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Forest - Removal of dead/fallen trees in Uttarahalli. 1st Assignment Based on Ward Mapping,Forest,MEDIUM,NEUTRAL
Road Maintenance(Engg) - Road side drains in Varthur. 1st Assignment Based on Ward Mapping,Road Maintenance(Engg),MEDIUM,NEUTRAL
Electrical - Street Light Not Working in Basaveshwara Nagar. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Solid Waste (Garbage) Related - Garbage dump in Bommanahalli. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
veterinary - shifting of the street dogs to other places in Jnanabharathi Ward. 1st Assignment Based on Ward Mapping,veterinary,MEDIUM,NEUTRAL
Electrical - Street Light Not Working in Vidyaranyapura. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Electrical - Street Light Not Working in Padarayanapura. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Solid Waste (Garbage) Related - Garbage dump in Shiva Nagar. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Road Maintenance(Engg) - Road side drains in Radhakrishna Temple. 1st Assignment Based on Ward Mapping,Road Maintenance(Engg),MEDIUM,NEUTRAL
Forest - Removal of dead/fallen trees in Giri Nagar. 1st Assignment Based on Ward Mapping,Forest,MEDIUM,NEUTRAL
Electrical - Street Light Not Working in Sanjay Nagar. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Solid Waste (Garbage) Related - Garbage dump in Hagadooru. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Electrical - Street Light Not Working in Benniganahalli. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Solid Waste (Garbage) Related - Garbage dump in Padmanabha Nagar. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Electrical - Street Light Not Working in Herohalli. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Solid Waste (Garbage) Related - Garbage dump in HSR Layout. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Forest - obstructions Branches / Trees. in Anjanapur. 1st Assignment Based on Ward Mapping,Forest,MEDIUM,NEUTRAL
Electrical - Street Light Not Working in BTM Layout. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Solid Waste (Garbage) Related - Garbage dumping in vacant sites in Thanisandra. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Solid Waste (Garbage) Related - Sweeping not done in Yelahanka old Satellite Town. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,LOW,NEUTRAL
Electrical - Street Light Not Working in Chikkalasandra. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Electrical - Street Light Not Working in Bagalagunte. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Electrical - Street Light Not Working in Basavanagudi. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Road Maintenance(Engg) - Road side drains in Neelasandra. 1st Assignment Based on Ward Mapping,Road Maintenance(Engg),MEDIUM,NEUTRAL
Electrical - Street Light Not Working in Sarakki. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Storm Water Drain(SWD) - Sewerage water left in SWD in Vidyaranyapura. 1st Assignment Based on Ward Mapping,Storm  Water Drain(SWD),MEDIUM,NEUTRAL
Electrical - Street Light Not Working in Hosahalli. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Electrical - Street Light Not Working in Newthippasandra. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Electrical - Street Light Not Working in Uttarahalli. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Solid Waste (Garbage) Related - Garbage dump in Horamavu. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Solid Waste (Garbage) Related - Garbage dump in Byatarayanapura. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Electrical - Street Light Not Working in Jnanabharathi Ward. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
veterinary - Fatally injured - Needs immediate attention in Koramangala. 1st Assignment Based on Ward Mapping,veterinary,MEDIUM,URGENT
Electrical - Street Light Not Working in Mahalakshmipuram. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Electrical - Street Light Not Working in Hagadooru. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Solid Waste (Garbage) Related - Garbage transfer not as per norms & area not kept clean in Thanisandra. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Road Maintenance(Engg) - Road side drains in Bommanahalli. 1st Assignment Based on Ward Mapping,Road Maintenance(Engg),MEDIUM,NEUTRAL
Solid Waste (Garbage) Related - Garbage dumping in vacant sites in Someshwara. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Electrical - Street Light Not Working in Doddanekkundi. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Electrical - Street Light Not Working in Kempegowda Ward. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Electrical - Street Light Not Working in Byatarayanapura. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Electrical - Street Light Not Working in Hemmigepura. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Solid Waste (Garbage) Related - Garbage vehicle not arrived in Banashankari Temple Ward. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Electrical - Street Light Not Working in Jnanabharathi Ward. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Electrical - Street Light Not Working in Subedarapalya. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Solid Waste (Garbage) Related - Garbage dump in Horamavu. Clear sir today morning,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Electrical - Street Light Not Working in Vidyaranyapura. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Electrical - Street Light Not Working in Byatarayanapura. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Electrical - Street Light Not Working in Uttarahalli. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Electrical - Street Light Not Working in Thanisandra. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Solid Waste (Garbage) Related - Garbage dump in Horamavu. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Electrical - Street Light Not Working in Shakthiganapathi Nagar. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Electrical - Street Light Not Working in Jnanabharathi Ward. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Electrical - Street Light Not Working in Banaswadi. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Electrical - Street Light Not Working in Jagajeevanram Nagar. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Electrical - Street Light Not Working in Uttarahalli. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Electrical - Street Light Not Working in Vishwanathnagenahalli. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Electrical - Street Light Not Working in Yelachenahalli. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Electrical - Street Light Not Working in Arakere. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Solid Waste (Garbage) Related - Garbage dump in Hoysala Nagar. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Electrical - Street Light Not Working in Hombegowda Nagar. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Electrical - Street Light Not Working in HBR Layout. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Solid Waste (Garbage) Related - Garbage dump in Benniganahalli. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Road Maintenance(Engg) - Road cutting in Banashankari Temple Ward. 1st Assignment Based on Ward Mapping,Road Maintenance(Engg),MEDIUM,NEUTRAL
Road Maintenance(Engg) - water stagnation in Lakkasandra. 1st Assignment Based on Ward Mapping,Road Maintenance(Engg),MEDIUM,NEUTRAL
Electrical - Requirement For New Street Lights in Herohalli. 1st Assignment Based on Ward Mapping,Electrical,MEDIUM,NEUTRAL
Electrical - Street Light Not Working in Gandhi Nagar. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Electrical - Requirement For New Street Lights in Vidyaranyapura. 1st Assignment Based on Ward Mapping,Electrical,MEDIUM,NEUTRAL
Electrical - Street Light Not Working in Jakkur. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Road Maintenance(Engg) - Road side drains in Sarvagna Nagar. 1st Assignment Based on Ward Mapping,Road Maintenance(Engg),MEDIUM,NEUTRAL
Electrical - Street Light Not Working in Thanisandra. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Electrical - Street Light Not Working in Ganeshmandira Ward. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Advertisement - Flex and banners in Arakere. 1st Assignment Based on Ward Mapping,Advertisement,MEDIUM,NEUTRAL
Solid Waste (Garbage) Related - Garbage dumping in vacant sites in Kadugodi. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Solid Waste (Garbage) Related - Garbage vehicle not arrived in Dodda Bidarkallu. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Electrical - Street Light Not Working in Kuvempu Nagar. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Electrical - Street Light Not Working in Byatarayanapura. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Electrical - Street Light Not Working in Vidyaranyapura. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Solid Waste (Garbage) Related - Garbage dumping in vacant sites in Kadugodi. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Solid Waste (Garbage) Related - Garbage vehicle not arrived in Hoodi. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Electrical - Street Light Not Working in Nandini Layout. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Forest - obstructions Branches / Trees. in Nagarabhavi. 1st Assignment Based on Ward Mapping,Forest,MEDIUM,NEUTRAL
veterinary - Collect the food available to feed dogs in Basavanagudi. 1st Assignment Based on Ward Mapping,veterinary,MEDIUM,NEUTRAL
Electrical - Park Lights Not Working in Hampi Nagar. 1st Assignment Based on Ward Mapping,Electrical,MEDIUM,CONCERNED
Electrical - Street Light Not Working in Sanjay Nagar. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Electrical - Street Light Not Working in Thanisandra. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Storm Water Drain(SWD) - Maintenance of SWD in Uttarahalli. 1st Assignment Based on Ward Mapping,Storm  Water Drain(SWD),LOW,NEUTRAL
Electrical - Street Light Not Working in Someshwara. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Forest - obstructions Branches / Trees. in Anjanapur. 1st Assignment Based on Ward Mapping,Forest,MEDIUM,NEUTRAL
Electrical - Street Light Not Working in Peenya Industrial Area. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Solid Waste (Garbage) Related - Garbage dump in Anjanapur. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Solid Waste (Garbage) Related - Garbage vehicle not arrived in Ramamurthy Nagar. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
veterinary - Stray dog related complaints in J.P.Nagar. 1st Assignment Based on Ward Mapping,veterinary,MEDIUM,NEUTRAL
Electrical - Street Light Not Working in Uttarahalli. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Electrical - Street Light Not Working in Horamavu. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Electrical - Street Light Not Working in K.R.Puram. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Electrical - Street Light Not Working in Hemmigepura. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Electrical - Street Light Not Working in Visvesvarapuram. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Electrical - Street Light Not Working in Doddanekkundi. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Solid Waste (Garbage) Related - Garbage dump in Hemmigepura. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Electrical - Street Light Not Working in J.P.Nagar. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Electrical - Street Light Not Working in Basavanagudi. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Forest - obstructions Branches / Trees. in Attiguppe. 1st Assignment Based on Ward Mapping,Forest,MEDIUM,NEUTRAL
Electrical - Street Light Not Working in Horamavu. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Electrical - Street Light Not Working in Hoodi. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Solid Waste (Garbage) Related - Garbage dumping in vacant sites in S.K.Garden. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Electrical - Street Light Not Working in Jakkur. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Electrical - Requirement For New Street Lights in Hemmigepura. 1st Assignment Based on Ward Mapping,Electrical,MEDIUM,NEUTRAL
Electrical - Street Light Not Working in Jakkur. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Electrical - Street Light Not Working in Jnanabharathi Ward. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Electrical - Street Light Not Working in Shettyhalli. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Electrical - Street Light Not Working in Varthur. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Electrical - Street Light Not Working in Kammanahalli. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Solid Waste (Garbage) Related - Garbage dump in Sunkenahalli. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Electrical - Street Light Not Working in Yelachenahalli. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Electrical - Street Light Not Working in Gottigere. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
veterinary - Animal Rescue - Not well - Requires attention in Uttarahalli. 1st Assignment Based on Ward Mapping,veterinary,MEDIUM,NEUTRAL
veterinary - Fatally injured - Needs immediate attention in K.R.Puram. 1st Assignment Based on Ward Mapping,veterinary,MEDIUM,URGENT
Solid Waste (Garbage) Related - Garbage vehicle not arrived in Ramamurthy Nagar. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Solid Waste (Garbage) Related - Garbage dump in Dodda Bidarkallu. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Electrical - Street Light Not Working in Kumaraswamy Layout. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Electrical - Street Light Not Working in Yelahanka old Satellite Town. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Electrical - Street Light Not Working in Vijay Nagar. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Solid Waste (Garbage) Related - Garbage dump in Hoysala Nagar. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Electrical - Street Light Not Working in Cottonpet. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Electrical - Street Light Not Working in Vasanth Nagar. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Parks and Play grounds - Issues Related to Parks/Medians/Circles/Island. in Someshwara. 1st Assignment Based on Ward Mapping,Parks and Play grounds,MEDIUM,NEUTRAL
Electrical - Street Light Not Working in Chikkalasandra. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Electrical - Street Light Not Working in Hemmigepura. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Electrical - Street Light Not Working in Chikpete. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Road Maintenance(Engg) - footpath encroachment in Kadugodi. 1st Assignment Based on Ward Mapping,Road Maintenance(Engg),MEDIUM,NEUTRAL
Road Maintenance(Engg) - Road side drains in Kadugodi. 1st Assignment Based on Ward Mapping,Road Maintenance(Engg),MEDIUM,NEUTRAL
Solid Waste (Garbage) Related - Garbage dump in Visvesvarapuram. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Storm Water Drain(SWD) - Sewerage water left in SWD in Ramamurthy Nagar. 1st Assignment Based on Ward Mapping,Storm  Water Drain(SWD),MEDIUM,NEUTRAL
Road Maintenance(Engg) - Debris Removal / Construction Material in Gali Anjaneya Swamy Temple Ward. 1st Assignment Based on Ward Mapping,Road Maintenance(Engg),LOW,NEUTRAL
Road Maintenance(Engg) - footpath encroachment in Kadugodi. 1st Assignment Based on Ward Mapping,Road Maintenance(Engg),MEDIUM,NEUTRAL
Electrical - Street Light Not Working in Jnanabharathi Ward. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Electrical - Street Light Not Working in Hemmigepura. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Solid Waste (Garbage) Related - Garbage dump in Benniganahalli. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Solid Waste (Garbage) Related - Garbage vehicle not arrived in Rajagopala Nagar. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Solid Waste (Garbage) Related - Garbage vehicle not arrived in Thanisandra. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Electrical - Street Light Not Working in Vignana Nagar. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Electrical - Street Light Not Working in Yadiyuru. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Road Maintenance(Engg) - Potholes in C.V.Raman Nagar. 1st Assignment Based on Ward Mapping,Road Maintenance(Engg),MEDIUM,NEUTRAL
Electrical - Street Light Not Working in Shettyhalli. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Electrical - Street Light Not Working in Garudacharpalya. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Solid Waste (Garbage) Related - Garbage dump in Jakkur. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Electrical - Street Light Not Working in Jnanabharathi Ward. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Electrical - Street Light Not Working in Dodda Bidarkallu. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Electrical - Street Light Not Working in Kempegowda Ward. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Electrical - Street Light Not Working in Okalipuram. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Electrical - Street Light Not Working in Jeevanbhima Nagar. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Electrical - Street Light Not Working in Kavalbyrasandra. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Electrical - Street Light Not Working in Sanjay Nagar. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Electrical - Street Light Not Working in Gottigere. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Electrical - Street Light Not Working in Hemmigepura. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Electrical - Street Light Not Working in Hoodi. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Electrical - Street Light Not Working in Bagalagunte. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Solid Waste (Garbage) Related - Garbage dump in Vidyaranyapura. \N,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Electrical - Street Light Not Working in Malleshwaram. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Solid Waste (Garbage) Related - Garbage vehicle not arrived in Jnanabharathi Ward. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Solid Waste (Garbage) Related - Garbage dump in Benniganahalli. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Electrical - Street Light Not Working in Rajagopala Nagar. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Forest - Removal of dead/fallen trees in Pulikeshi Nagar. 1st Assignment Based on Ward Mapping,Forest,MEDIUM,NEUTRAL
Electrical - Street Light Not Working in T-Dasarahalli. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Electrical - Street Light Not Working in Jnanabharathi Ward. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Electrical - Street Light Not Working in Someshwara. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Solid Waste (Garbage) Related - Garbage dump in Benniganahalli. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Electrical - Street Light Not Working in Kumaraswamy Layout. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Electrical - Street Light Not Working in Vijay Nagar. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Electrical - Street Light Not Working in Chikkalasandra. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Electrical - Street Light Not Working in Malleshwaram. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
veterinary - Fatally injured - Needs immediate attention in Chamrajpet. 1st Assignment Based on Ward Mapping,veterinary,MEDIUM,URGENT
Electrical - Street Light Not Working in Banaswadi. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Electrical - Street Light Not Working in Ramamurthy Nagar. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Electrical - Street Light Not Working in Jakkur. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Road Infrastructure - Road Infrastructure in Vignana Nagar. 1st Assignment Based on Ward Mapping,Road Infrastructure,MEDIUM,NEUTRAL
Electrical - Street Light Not Working in Basavanapura. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Electrical - Street Light Not Working in Singasandra. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Solid Waste (Garbage) Related - Garbage dump in Hemmigepura. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Electrical - Street Light Not Working in Kodigehalli. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Road Maintenance(Engg) - Road side drains in Radhakrishna Temple. 1st Assignment Based on Ward Mapping,Road Maintenance(Engg),MEDIUM,NEUTRAL
Electrical - Street Light Not Working in Hemmigepura. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Solid Waste (Garbage) Related - Garbage dump in Hemmigepura. 1st Assignment Based on Ward Mapping,Solid Waste (Garbage) Related,MEDIUM,CONCERNED
Electrical - Street Light Not Working in T-Dasarahalli. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Electrical - Street Light Not Working in Ullalu. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Electrical - Street Light Not Working in Byatarayanapura. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
Electrical - Street Light Not Working in BTM Layout. 1st Assignment Based on Ward Mapping,Electrical,HIGH,URGENT
